domain_group,token,n,tf,idf,tf_idf
high,969.001,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,969.01,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,969.02,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,969.03,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,969.08,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,969.15,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,96th,53,2.456270278712525e-5,0,0
high,97.6818,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,971.16,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,971.17,22,1.0195838892768973e-5,0.6931471805599453,7.067216981966248e-6
high,971.37,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,973.017,16,7.415155558377434e-6,0,0
high,973.055,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,973.075,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,973.123,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,973.155,20,9.268944447971793e-6,0.6931471805599453,6.424742710878407e-6
high,973.176,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,9799.13,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,9799.15,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,9799.16,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,9799.19,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,9799.34,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,97th,6,2.780683334391538e-6,0,0
high,982c,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,985.04,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,985.045,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,985.12,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,985.345,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,985.701,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,985.711,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,98th,12,5.561366668783076e-6,0,0
high,"99,000,000",8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,990.01,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,990.06,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,995.67,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,99th,11,5.097919446384486e-6,0,0
high,9th,4,1.8537888895943585e-6,0,0
high,____,6,2.780683334391538e-6,0,0
high,_____,2,9.268944447971793e-7,0,0
high,_______,1,4.6344722239858964e-7,0,0
high,__________,31,1.4366863894356278e-5,0.6931471805599453,9.95835120186153e-6
high,___________,174,8.06398166973546e-5,0,0
high,_____________,12,5.561366668783076e-6,0,0
high,_______________,4,1.8537888895943585e-6,0,0
high,________________,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,_________________,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,____________________,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,_____________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,______________________,1,4.6344722239858964e-7,0,0
high,________________________,4,1.8537888895943585e-6,0,0
high,_________________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,__________________________,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,____________________________,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,_____________________________,8,3.707577779188717e-6,0,0
high,______________________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,_________________________________,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,____________________________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,_____________________________________,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,_______________________________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,________________________________________,2,9.268944447971793e-7,0,0
high,__________________________________________,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,____________________________________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,_____________________________________________,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,_______________________________________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,___________________________________________________,81,3.753922501428576e-5,0.6931471805599453,2.6020207979057548e-5
high,_____________________________________________________,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,__________________________________________________________,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,___________________________________________________________,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,_____________________________________________________________,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,______________________________________________________________,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,_______________________________________________________________,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,________________________________________________________________,40,1.8537888895943585e-5,0,0
high,_________________________________________________________________,7,3.2441305567901275e-6,0.6931471805599453,2.2486599488074424e-6
high,__________________________________________________________________,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,___________________________________________________________________,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,____________________________________________________________________,11,5.097919446384486e-6,0.6931471805599453,3.533608490983124e-6
high,_____________________________________________________________________,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,______________________________________________________________________,31,1.4366863894356278e-5,0.6931471805599453,9.95835120186153e-6
high,________________________________________________________________________,173,8.0176369474956e-5,0,0
high,______________________________telephone,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,a.k.a,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,a.m,9,4.171025001587307e-6,0,0
high,a1c,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,aaa,25,1.1586180559964741e-5,0.6931471805599453,8.03092838859801e-6
high,aabd,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,aaron,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,aba,26,1.2049627782363331e-5,0.6931471805599453,8.35216552414193e-6
high,abandon,32,1.4830311116754868e-5,0.6931471805599453,1.027958833740545e-5
high,abandoned,70,3.2441305567901274e-5,0,0
high,abandoning,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,abandonment,136,6.30288222462082e-5,0,0
high,abandons,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,abate,3,1.390341667195769e-6,0,0
high,abated,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,abatement,62,2.8733727788712557e-5,0,0
high,abatements,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,abbate,1,4.6344722239858964e-7,0,0
high,abbreviated,9,4.171025001587307e-6,0,0
high,abbreviation,13,6.024813891181666e-6,0.6931471805599453,4.176082762070965e-6
high,abbreviations,32,1.4830311116754868e-5,0.6931471805599453,1.027958833740545e-5
high,abdelnasser,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,abdomen,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,abdominal,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,abduction,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,abdullahi,1,4.6344722239858964e-7,0,0
high,aberrant,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,abet,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,abets,9,4.171025001587307e-6,0.6931471805599453,2.891134219895283e-6
high,abetted,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,abetting,19,8.805497225573203e-6,0.6931471805599453,6.103505575334486e-6
high,abettors,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,abeyance,21,9.732391670370383e-6,0.6931471805599453,6.7459798464223275e-6
high,abide,36,1.668410000634923e-5,0,0
high,abiding,13,6.024813891181666e-6,0.6931471805599453,4.176082762070965e-6
high,abil,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,abili,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,abilities,56,2.595304445432102e-5,0,0
high,ability,786,3.6426951680529145e-4,0,0
high,abinanti,3,1.390341667195769e-6,0,0
high,ableness,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,ably,12,5.561366668783076e-6,0,0
high,abnormal,32,1.4830311116754868e-5,0,0
high,abnormalities,17,7.878602780776024e-6,0.6931471805599453,5.461031304246646e-6
high,abnormality,45,2.0855125007936534e-5,0,0
high,aboard,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,abode,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,abolished,10,4.634472223985896e-6,0,0
high,abolishing,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,abolishment,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,aborted,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,abortion,126,5.83943500222223e-5,0,0
high,abortions,52,2.4099255564726663e-5,0,0
high,abrams,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,abrasion,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,abrasive,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,abridge,11,5.097919446384486e-6,0.6931471805599453,3.533608490983124e-6
high,abridgement,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,abrogate,8,3.707577779188717e-6,0,0
high,abrogated,4,1.8537888895943585e-6,0,0
high,abrogates,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,abrupt,1,4.6344722239858964e-7,0,0
high,abscesses,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,absconding,9,4.171025001587307e-6,0,0
high,absconds,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,absconsion,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,absence,324,1.5015690005714305e-4,0,0
high,absences,22,1.0195838892768973e-5,0,0
high,absent,87,4.03199083486773e-5,0,0
high,absentee,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,absenteeism,6,2.780683334391538e-6,0,0
high,absents,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,absolute,9,4.171025001587307e-6,0,0
high,absolutely,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,absorb,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,absorbed,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,absorbing,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,absorption,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,abstain,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,abstaining,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,absti,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,abstinence,35,1.6220652783950637e-5,0,0
high,abstract,7,3.2441305567901275e-6,0,0
high,abstracting,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,abstracts,7,3.2441305567901275e-6,0,0
high,abundant,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,abus,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,abusable,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,abuse,3682,0.001706412672871607,0,0
high,abused,287,1.3300935282839523e-4,0,0
high,abuser,39,1.8074441673544997e-5,0,0
high,abusers,19,8.805497225573203e-6,0,0
high,abuses,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,abusing,11,5.097919446384486e-6,0,0
high,abusive,21,9.732391670370383e-6,0.6931471805599453,6.7459798464223275e-6
high,abutting,2,9.268944447971793e-7,0,0
high,aca,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acade,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,academ,1,4.6344722239858964e-7,0,0
high,academia,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,academic,511,2.368215306456793e-4,0,0
high,academically,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,academician,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,academies,19,8.805497225573203e-6,0.6931471805599453,6.103505575334486e-6
high,academy,89,4.1246802793474476e-5,0,0
high,accelerant,7,3.2441305567901275e-6,0.6931471805599453,2.2486599488074424e-6
high,accelerate,15,6.951708335978845e-6,0,0
high,accelerated,19,8.805497225573203e-6,0,0
high,acceleration,18,8.342050003174614e-6,0.6931471805599453,5.782268439790566e-6
high,accelerator,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accelerators,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accept,553,2.562863139864201e-4,0,0
high,accepta,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,acceptability,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acceptable,524,2.4284634453686097e-4,0,0
high,acceptance,112,5.190608890864204e-5,0,0
high,accepted,393,1.8213475840264573e-4,0,0
high,accepting,160,7.415155558377434e-5,0,0
high,accepts,92,4.2637144460670245e-5,0,0
high,acces,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,access,2447,0.0011340553532093488,0,0
high,accessability,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,accessed,42,1.9464783340740766e-5,0,0
high,accesses,4,1.8537888895943585e-6,0,0
high,accessi,2,9.268944447971793e-7,0,0
high,accessibility,77,3.56854361246914e-5,0,0
high,accessible,467,2.1642985286014137e-4,0,0
high,accessing,158,7.322466113897716e-5,0,0
high,accesso,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accessories,63,2.919717501111115e-5,0.6931471805599453,2.0237939539266983e-5
high,accessory,151,6.998053058218704e-5,0.6931471805599453,4.850680746713197e-5
high,accident,332,1.5386447783633176e-4,0,0
high,accidental,57,2.6416491676719608e-5,0,0
high,accidents,18,8.342050003174614e-6,0.6931471805599453,5.782268439790566e-6
high,accom,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,accommo,14,6.488261113580255e-6,0.6931471805599453,4.497319897614885e-6
high,accommodate,29,1.34399694495591e-5,0.6931471805599453,9.31587693077369e-6
high,accommodated,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accommodates,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accommodating,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,accommodation,193,8.94453139229278e-5,0.6931471805599453,6.199876715997662e-5
high,accommodations,223,1.033487305948855e-4,0,0
high,accompa,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,accompanied,301,1.3949761394197547e-4,0,0
high,accompanies,5,2.317236111992948e-6,0,0
high,accompany,56,2.595304445432102e-5,0,0
high,accompanying,70,3.2441305567901274e-5,0,0
high,accomplice,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,accomplice's,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,accomplices,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,accomplish,62,2.8733727788712557e-5,0,0
high,accomplished,36,1.668410000634923e-5,0,0
high,accomplishing,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accomplishment,11,5.097919446384486e-6,0,0
high,accomplishments,9,4.171025001587307e-6,0.6931471805599453,2.891134219895283e-6
high,accord,106,4.91254055742505e-5,0,0
high,accorded,32,1.4830311116754868e-5,0,0
high,accoun,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,account,1704,7.897140669671967e-4,0,0
high,accountabilities,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accountability,293,1.3579003616278677e-4,0,0
high,accountable,67,3.1050963900705505e-5,0,0
high,accountancy,74,3.4295094457495634e-5,0,0
high,accountant,100,4.6344722239858965e-5,0.6931471805599453,3.212371355439204e-5
high,accountants,41,1.9001336118342174e-5,0,0
high,accounted,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,accounting,164,7.60053444733687e-5,0,0
high,accountings,13,6.024813891181666e-6,0.6931471805599453,4.176082762070965e-6
high,accounts,233,1.0798320281887138e-4,0,0
high,accred,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,accredi,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,accredit,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accreditation,439,2.0345333063298085e-4,0,0
high,accreditations,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accredited,685,3.174613473430339e-4,0,0
high,accrediting,178,8.249360558694895e-5,0,0
high,accredits,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,accretions,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,accrual,9,4.171025001587307e-6,0,0
high,accruals,7,3.2441305567901275e-6,0.6931471805599453,2.2486599488074424e-6
high,accrue,42,1.9464783340740766e-5,0,0
high,accrued,70,3.2441305567901274e-5,0,0
high,accrues,6,2.780683334391538e-6,0,0
high,accruing,29,1.34399694495591e-5,0.6931471805599453,9.31587693077369e-6
high,accu,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,accumu,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,accumulate,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,accumulated,143,6.627295280299832e-5,0,0
high,accumulating,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,accumulation,28,1.297652222716051e-5,0.6931471805599453,8.99463979522977e-6
high,accumulations,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,accuracy,59,2.7343386121516788e-5,0,0
high,accurate,191,8.851841947813063e-5,0,0
high,accurately,62,2.8733727788712557e-5,0,0
high,accusation,7,3.2441305567901275e-6,0,0
high,accusatory,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,accused,355,1.6452376395149933e-4,0,0
high,accused's,51,2.363580834232807e-5,0,0
high,accusing,20,9.268944447971793e-6,0,0
high,ace,3,1.390341667195769e-6,0,0
high,acend,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,aces,8,3.707577779188717e-6,0,0
high,acetamide,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acetanilid,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acetazolamide,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acetphenetidin,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acetyl,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,acetylfentanyl,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,achievable,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,achieve,329,1.52474136169136e-4,0,0
high,achieved,94,4.356403890546743e-5,0,0
high,achievement,59,2.7343386121516788e-5,0,0
high,achievements,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,achieves,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,achieving,88,4.078335557107589e-5,0,0
high,acid,85,3.9393013903880116e-5,0.6931471805599453,2.7305156521233227e-5
high,acidification,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,acidified,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acidifying,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,acidity,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acids,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acidulated,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acilities,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,acility,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acip,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,acknowledge,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,acknowledged,20,9.268944447971793e-6,0,0
high,acknowledgement,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,acknowledges,30,1.390341667195769e-5,0,0
high,acknowledging,14,6.488261113580255e-6,0.6931471805599453,4.497319897614885e-6
high,acknowledgment,28,1.297652222716051e-5,0,0
high,acknowledgments,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,aco,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,aconite,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acos,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acoustical,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,acoustics,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,acpe,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acquaintance,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acquaintanceship,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acqui,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acquire,116,5.37598777982364e-5,0,0
high,acquired,141,6.534605835820113e-5,0,0
high,acquires,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,acquiring,101,4.680816946225755e-5,0,0
high,acquisi,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,acquisition,184,8.527428892134049e-5,0,0
high,acquisitions,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,acquittal,34,1.575720556155205e-5,0.6931471805599453,1.0922062608493292e-5
high,acquitted,6,2.780683334391538e-6,0,0
high,acre,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,acres,10,4.634472223985896e-6,0,0
high,acrylamide,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acrylfentanyl,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,acrylic,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,acs,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,act's,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acted,72,3.336820001269846e-5,0,0
high,acti,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,acting,677,3.1375376956384516e-4,0,0
high,action,3303,0.0015307661755825416,0,0
high,actionable,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,actions,1171,5.426966974287485e-4,0,0
high,activ,34,1.575720556155205e-5,0,0
high,activate,6,2.780683334391538e-6,0,0
high,activated,34,1.575720556155205e-5,0,0
high,activation,12,5.561366668783076e-6,0,0
high,active,777,3.6009849180370415e-4,0,0
high,actively,201,9.315289170211652e-5,0,0
high,activiti,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,activities,1784,8.26789844759084e-4,0,0
high,activity,826,3.8280740570123507e-4,0,0
high,actor,62,2.8733727788712557e-5,0.6931471805599453,1.991670240372306e-5
high,actor's,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,actors,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acts,753,3.48975758466138e-4,0,0
high,acts.b,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,actu,7,3.2441305567901275e-6,0,0
high,actual,855,3.962473751507941e-4,0,0
high,actuar,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,actuari,4,1.8537888895943585e-6,0,0
high,actuarial,45,2.0855125007936534e-5,0,0
high,actuarially,5,2.317236111992948e-6,0,0
high,actuaries,4,1.8537888895943585e-6,0,0
high,actuary,22,1.0195838892768973e-5,0,0
high,acuity,45,2.0855125007936534e-5,0,0
high,acupressure,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acupunc,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acupunctu,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,acupuncture,103,4.7735063907054734e-5,0,0
high,acupuncturist,52,2.4099255564726663e-5,0.6931471805599453,1.670433104828386e-5
high,acupuncturists,26,1.2049627782363331e-5,0.6931471805599453,8.35216552414193e-6
high,acute,459,2.1272227508095263e-4,0,0
high,acutely,56,2.595304445432102e-5,0.6931471805599453,1.798927959045954e-5
high,acy,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,acyclovir,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,acyl,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,ada,1,4.6344722239858964e-7,0,0
high,adam,1,4.6344722239858964e-7,0,0
high,adamantan,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,adamh,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,adamhs,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,adams,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,adap,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,adapt,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,adaptability,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,adaptable,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,adaptation,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,adaptations,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,adapted,16,7.415155558377434e-6,0.6931471805599453,5.139794168702725e-6
high,adapting,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,adaptive,55,2.548959723192243e-5,0,0
high,adb,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,add,346,1.60352738949912e-4,0,0
high,addabbo,3,1.390341667195769e-6,0,0
high,added,1517,7.030494363786605e-4,0,0
high,addi,64,2.9660622233509737e-5,0,0
high,addic,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,addict,231,1.070563083740742e-4,0,0
high,addicted,87,4.03199083486773e-5,0,0
high,addictedaddiction,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,addicting,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,addiction,3609,0.00167258102563651,0,0
high,addictionist,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,addictions,69,3.197785834550268e-5,0,0
high,addictive,98,4.541782779506178e-5,0,0
high,addicts,33,1.5293758339153457e-5,0,0
high,adding,1288,5.969200224493834e-4,0,0
high,addition,1470,6.812674169259268e-4,0,0
high,additional,2267,0.0010506348531776027,0,0
high,additionally,95,4.402748612786601e-5,0,0
high,additions,1102,5.107188390832458e-4,0,0
high,additive,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,additives,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
