domain_group,token,n,tf,idf,tf_idf
high,"1,123,140,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,147,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,150,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,152,566,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,175,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,199.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,2",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,2,3",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,2,4",10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,"1,200",12,5.561366668783076e-6,0,0
high,"1,200,000",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,226,598,500",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,227,095,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,229.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,237.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,240,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,246.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,250",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,270,000",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,276.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,288,852,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,295.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,3",18,8.342050003174614e-6,0.6931471805599453,5.782268439790566e-6
high,"1,300,000,000",1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"1,307.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,350,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,358",1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"1,365.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,369,863",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,4",26,1.2049627782363331e-5,0.6931471805599453,8.35216552414193e-6
high,"1,406,926",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,410,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,416,122",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,439",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,440",1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"1,444,444",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,458,951",1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"1,463,963",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,473,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,478,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,488",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,488.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,500",14,6.488261113580255e-6,0,0
high,"1,500,000",3,1.390341667195769e-6,0,0
high,"1,503,400",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,535.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,599",1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"1,604,986,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,660",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,710,086,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,716,913,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,741,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,750",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,792,500",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,800",3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,"1,800,000",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
