bill_id,topic,gamma,topic_label,is_artifact
1408963,16,0.46147027218955416,Insurance & Medicaid Coverage,FALSE
1408972,18,0.24928753888949212,Education & Community,FALSE
1409001,18,0.21753991569900183,Education & Community,FALSE
1409020,16,0.5307014968072162,Insurance & Medicaid Coverage,FALSE
1409750,13,0.999505610699966,Licensing & Privacy Records,FALSE
1409766,1,0.7269937365890843,Involuntary & Inpatient Treatment,FALSE
1409916,10,0.2202936048660217,Workforce Licensing,FALSE
1410004,9,3.9688088689635015e-4,Advisory Bodies & Task Forces,FALSE
1410035,9,0.1889219447569177,Advisory Bodies & Task Forces,FALSE
1410311,16,0.3929828974519056,Insurance & Medicaid Coverage,FALSE
1410391,16,4.4882858124199097e-4,Insurance & Medicaid Coverage,FALSE
1410545,3,0.4978683050163028,Maternal & Prenatal Health,FALSE
1410555,4,0.2686410678694743,General Regulatory Procedures,FALSE
1411023,3,4.035533891735648e-4,Maternal & Prenatal Health,FALSE
1411183,9,0.3036338640375308,Advisory Bodies & Task Forces,FALSE
1411185,18,1.209359870482464e-4,Education & Community,FALSE
1411197,16,0.4275823333621739,Insurance & Medicaid Coverage,FALSE
1411261,18,3.904254469136644e-4,Education & Community,FALSE
1411556,1,0.5974432473704183,Involuntary & Inpatient Treatment,FALSE
1411658,18,0.4083837300519444,Education & Community,FALSE
1411757,10,0.9186681624206424,Workforce Licensing,FALSE
1411847,1,0.9966826880237264,Involuntary & Inpatient Treatment,FALSE
1411971,18,0.1926817826121527,Education & Community,FALSE
1411981,18,2.808067839590223e-4,Education & Community,FALSE
1412410,1,0.2679369483945257,Involuntary & Inpatient Treatment,FALSE
1412650,2,0.23063247163296396,Drug Crime & Penalties,FALSE
1412820,16,0.4100973393257989,Insurance & Medicaid Coverage,FALSE
1412847,9,0.5893123241217395,Advisory Bodies & Task Forces,FALSE
1413072,1,0.7159405851488705,Involuntary & Inpatient Treatment,FALSE
1413226,18,0.4216924174553664,Education & Community,FALSE
1413361,11,2.172643753797866e-4,Policy Equity & Conditions,FALSE
1413378,19,0.45839473480099174,Criminal Justice,FALSE
1413429,19,0.6806589675337408,Criminal Justice,FALSE
1413464,12,0.5993108001079326,Budget & Fiscal Provisions,FALSE
1413510,16,0.32708765061147516,Insurance & Medicaid Coverage,FALSE
1413564,10,0.9903946161528908,Workforce Licensing,FALSE
1413587,19,0.20577146703277704,Criminal Justice,FALSE
1413761,8,0.8320823376781842,Healthcare Facilities & Licensing,FALSE
1413934,18,0.3813319027358913,Education & Community,FALSE
1414036,16,0.5109650592960621,Insurance & Medicaid Coverage,FALSE
1414210,8,0.8320823376781842,Healthcare Facilities & Licensing,FALSE
1415246,10,0.7822756011436243,Workforce Licensing,FALSE
1415261,3,0.5659338187845816,Maternal & Prenatal Health,FALSE
1415479,9,2.3196141474292063e-4,Advisory Bodies & Task Forces,FALSE
1415515,19,6.178793943425804e-5,Criminal Justice,FALSE
1416584,1,0.6855204441352638,Involuntary & Inpatient Treatment,FALSE
1416798,18,7.169454714639617e-4,Education & Community,FALSE
1418184,19,0.11537182696421476,Criminal Justice,FALSE
1418274,19,0.2429969844278098,Criminal Justice,FALSE
1418422,13,0.04206012273819456,Licensing & Privacy Records,FALSE
1418636,12,0.20485453940475867,Budget & Fiscal Provisions,FALSE
1418925,18,5.164231486987829e-4,Education & Community,FALSE
1418931,16,0.7204142221923315,Insurance & Medicaid Coverage,FALSE
1419038,10,0.06429665037136305,Workforce Licensing,FALSE
1419063,19,3.7226051031723017e-4,Criminal Justice,FALSE
1419079,8,6.771433736796669e-5,Healthcare Facilities & Licensing,FALSE
1419139,18,0.2707620369223721,Education & Community,FALSE
1419189,9,0.34736677973052343,Advisory Bodies & Task Forces,FALSE
1419392,10,4.405901813915905e-4,Workforce Licensing,FALSE
1419460,12,0.2651884732600348,Budget & Fiscal Provisions,FALSE
1419510,1,0.5430077198720666,Involuntary & Inpatient Treatment,FALSE
1419522,9,0.5655717057328403,Advisory Bodies & Task Forces,FALSE
1419673,18,0.1515272233702208,Education & Community,FALSE
1420695,2,1.9829639110836684e-5,Drug Crime & Penalties,FALSE
1420817,19,0.34957241544120543,Criminal Justice,FALSE
1420934,18,0.9887336088764676,Education & Community,FALSE
1420971,18,0.9946646711047796,Education & Community,FALSE
1421074,18,0.28756487415466514,Education & Community,FALSE
1421389,18,0.8912825803225972,Education & Community,FALSE
1421690,10,0.9923324856057024,Workforce Licensing,FALSE
1422153,18,0.6794784481901306,Education & Community,FALSE
1422719,3,1.2535708382187315e-4,Maternal & Prenatal Health,FALSE
1422803,11,7.390188698021815e-4,Policy Equity & Conditions,FALSE
1422838,10,0.4528882482502295,Workforce Licensing,FALSE
1422906,9,0.7172806087973848,Advisory Bodies & Task Forces,FALSE
1423103,13,0.09329021677353676,Licensing & Privacy Records,FALSE
1423166,1,3.098007476916051e-4,Involuntary & Inpatient Treatment,FALSE
1423197,2,0.9995088055297708,Drug Crime & Penalties,FALSE
1423229,19,0.4905237793798268,Criminal Justice,FALSE
1423295,18,0.1808726200266081,Education & Community,FALSE
1423302,10,0.35335214718691677,Workforce Licensing,FALSE
1423394,16,1.9862456597284657e-5,Insurance & Medicaid Coverage,FALSE
1423401,12,0.35352803684882617,Budget & Fiscal Provisions,FALSE
1423455,19,0.39272069604265303,Criminal Justice,FALSE
1423521,19,0.4639622250959221,Criminal Justice,FALSE
1423540,10,0.7584010559027408,Workforce Licensing,FALSE
